Date,Price,Open,High,Low,Vol.,Change %
06/04/2023,25.20,25.20,25.20,25.20,0.01K,0.00%
06/05/2023,25.20,25.20,25.20,25.20,0.13K,0.00%
06/06/2023,25.20,25.20,25.20,25.20,0.24K,0.00%
06/07/2023,25.20,25.20,25.20,25.20,0.05K,0.00%
06/08/2023,25.20,25.20,25.20,25.20,0.36K,0.00%
06/13/2023,25.20,25.20,25.20,25.20,1.11K,0.00%
06/14/2023,25.20,25.20,25.20,25.20,0.11K,0.00%
06/18/2023,25.20,25.20,25.20,25.20,0.01K,0.00%
06/20/2023,25.20,25.20,25.20,25.20,0.10K,0.00%
06/22/2023,25.20,25.20,25.20,25.20,0.94K,0.00%
06/25/2023,25.20,25.20,25.20,25.20,0.10K,0.00%
06/26/2023,25.20,25.20,25.20,25.20,0.04K,0.00%
07/02/2023,25.20,25.20,25.20,25.20,6.01K,0.00%
07/03/2023,25.20,25.20,25.20,25.20,21.50K,0.00%
07/04/2023,27.70,25.20,27.70,25.20,743.08K,9.92%
07/05/2023,30.40,30.30,30.40,29.70,1.90M,9.75%
07/06/2023,29.40,32.90,33.30,29.30,1.31M,-3.29%
07/09/2023,30.20,29.40,31.70,28.30,1.12M,2.72%
07/10/2023,28.40,30.30,30.50,28.10,536.43K,-5.96%
07/11/2023,28.50,27.80,29.50,27.80,377.30K,0.35%
07/12/2023,31.30,28.50,31.30,28.50,1.32M,9.82%
07/13/2023,34.40,31.80,34.40,30.30,2.21M,9.90%
07/16/2023,34.30,35.40,36.80,33.70,2.36M,-0.29%
07/17/2023,36.20,36.00,36.60,33.80,2.13M,5.54%
07/18/2023,36.10,37.00,38.40,35.10,2.12M,-0.28%
07/19/2023,34.70,35.30,36.10,34.50,1.18M,-3.88%
07/20/2023,33.20,35.40,35.70,33.00,1.35M,-4.32%
07/23/2023,31.50,33.80,34.20,31.30,775.36K,-5.12%
07/24/2023,34.60,31.20,34.60,31.20,1.66M,9.84%
07/25/2023,35.10,36.20,37.00,34.30,1.81M,1.45%
07/26/2023,36.80,35.40,37.40,34.70,2.36M,4.84%
07/27/2023,36.10,37.30,37.80,35.90,2.27M,-1.90%
07/30/2023,35.60,36.00,36.60,35.30,1.32M,-1.39%
07/31/2023,36.30,35.80,37.60,35.80,1.85M,1.97%
08/01/2023,34.60,37.00,37.90,34.30,2.25M,-4.68%
08/02/2023,33.10,34.50,34.90,32.80,1.47M,-4.34%
08/03/2023,32.10,33.00,33.50,32.00,1.52M,-3.02%
08/06/2023,32.40,32.00,33.40,31.80,878.34K,0.93%
08/07/2023,31.90,32.30,32.80,31.70,763.20K,-1.54%
08/08/2023,31.60,32.40,32.40,31.50,634.99K,-0.94%
08/09/2023,29.80,31.90,32.20,29.60,594.33K,-5.70%
08/10/2023,29.60,29.90,30.00,28.70,945.25K,-0.67%
08/13/2023,28.10,29.80,30.10,27.30,754.23K,-5.07%
08/14/2023,27.00,28.50,28.50,26.90,721.50K,-3.91%
08/16/2023,26.60,27.50,27.60,26.40,577.48K,-1.48%
08/17/2023,27.40,27.00,27.70,27.00,622.53K,3.01%
08/20/2023,27.20,27.60,27.80,26.70,1.02M,-0.73%
08/21/2023,29.90,27.40,29.90,27.40,1.10M,9.93%
08/22/2023,30.80,30.60,32.20,30.20,2.39M,3.01%
08/23/2023,29.70,30.20,31.20,29.60,1.13M,-3.57%
08/24/2023,30.40,29.70,31.20,29.40,1.04M,2.36%
08/27/2023,31.70,30.80,32.20,30.50,1.40M,4.28%
08/28/2023,30.40,31.50,32.00,30.10,1.16M,-4.10%
08/29/2023,29.90,30.40,30.70,29.60,638.32K,-1.64%
08/30/2023,30.50,30.40,30.70,29.90,515.93K,2.01%
08/31/2023,30.00,30.60,31.20,29.80,910.21K,-1.64%
09/03/2023,29.90,30.40,30.80,29.90,473.76K,-0.33%
09/04/2023,30.00,29.90,30.70,29.90,633.26K,0.33%
09/05/2023,29.30,30.00,30.20,29.10,748.52K,-2.33%
09/07/2023,28.70,29.50,29.60,28.50,619.61K,-2.05%
09/10/2023,27.80,28.70,29.00,27.50,690.18K,-3.14%
09/11/2023,27.40,28.00,28.30,27.20,362.60K,-1.44%
09/12/2023,27.90,27.40,28.30,27.40,321.45K,1.82%
09/13/2023,27.30,28.20,28.30,27.10,806.92K,-2.15%
09/14/2023,28.50,27.60,29.60,27.40,1.14M,4.40%
09/17/2023,27.90,28.40,28.70,27.70,671.53K,-2.11%
09/18/2023,27.60,28.00,28.60,27.50,724.62K,-1.08%
09/19/2023,27.10,27.60,28.00,26.90,937.23K,-1.81%
"﻿""09/20/2023""",27.20,27.10,27.70,27.00,660.19K,0.37%
