Date,Price,Open,High,Low,Vol.,Change %
08/17/2023,70.80,71.00,71.20,69.20,89.93K,3.21%
08/20/2023,71.10,70.80,71.30,69.10,149.88K,0.42%
08/21/2023,73.40,70.60,73.90,70.60,283.99K,3.23%
08/22/2023,74.70,73.00,75.30,72.00,362.69K,1.77%
08/23/2023,75.50,74.90,77.70,74.80,524.33K,1.07%
08/24/2023,74.10,75.10,75.60,73.60,230.57K,-1.85%
08/27/2023,75.80,73.70,76.40,73.70,179.78K,2.29%
08/28/2023,74.60,76.20,76.50,74.20,288.04K,-1.58%
08/29/2023,74.60,74.80,75.50,74.00,170.49K,0.00%
08/30/2023,74.90,75.30,75.50,74.40,257.84K,0.40%
08/31/2023,75.40,75.30,75.90,74.60,336.48K,0.67%
09/03/2023,76.20,76.00,76.60,74.90,746.17K,1.06%
09/05/2023,72.60,73.20,73.60,72.30,403.09K,-4.72%
09/07/2023,73.40,72.00,74.20,72.00,339.98K,1.10%
09/10/2023,74.50,73.40,75.90,73.30,597.74K,1.50%
09/11/2023,73.30,74.00,75.20,72.80,263.00K,-1.61%
09/12/2023,73.50,73.90,74.70,73.00,389.69K,0.27%
09/13/2023,72.90,73.80,74.80,72.60,297.00K,-0.82%
09/14/2023,73.00,73.00,73.70,72.10,398.90K,0.14%
09/17/2023,75.10,73.10,75.60,73.10,626.67K,2.88%
09/18/2023,75.00,75.50,77.40,74.70,871.69K,-0.13%
09/19/2023,77.00,74.90,77.60,74.50,748.06K,2.67%
09/20/2023,75.70,77.10,79.40,75.50,601.31K,-1.69%
