Date,Price,Open,High,Low,Vol.,Change %
05/11/2023,18.90,17.40,19.30,17.40,2.05M,2.72%
05/14/2023,20.70,18.90,20.70,17.70,7.29M,9.52%
05/15/2023,20.70,22.00,22.00,19.60,3.97M,0.00%
05/16/2023,22.20,20.00,22.70,20.00,7.96M,7.25%
05/17/2023,22.50,22.40,23.20,21.80,2.22M,1.35%
05/18/2023,23.00,21.70,23.60,20.70,3.34M,2.22%
05/21/2023,24.80,23.00,25.20,22.50,7.74M,7.83%
05/22/2023,25.10,24.80,26.40,23.70,6.73M,1.21%
05/23/2023,24.00,25.50,26.80,23.30,4.37M,-4.38%
05/24/2023,24.30,24.00,24.80,22.20,5.05M,1.25%
05/25/2023,22.00,24.30,24.30,21.90,3.30M,-9.47%
05/28/2023,21.00,21.50,21.50,20.30,1.55M,-4.55%
05/29/2023,22.30,21.00,22.70,20.60,2.13M,6.19%
05/30/2023,21.90,22.50,22.80,21.60,2.01M,-1.79%
05/31/2023,22.60,22.20,22.80,21.90,1.34M,3.20%
06/01/2023,23.30,22.70,23.60,22.00,1.68M,3.10%
06/04/2023,24.90,23.30,25.40,23.30,4.56M,6.87%
06/05/2023,26.10,25.30,26.30,24.80,4.96M,4.82%
06/06/2023,23.50,26.20,26.20,23.50,1.78M,-9.96%
06/07/2023,21.90,22.30,23.40,21.20,2.27M,-6.81%
06/08/2023,21.70,21.90,23.20,21.40,1.03M,-0.91%
06/11/2023,22.70,21.40,23.50,19.60,6.69M,4.61%
06/12/2023,20.70,22.70,22.80,20.50,845.60K,-8.81%
06/13/2023,20.00,20.70,20.80,19.60,1.48M,-3.38%
06/14/2023,19.70,20.20,20.50,19.50,831.21K,-1.50%
06/15/2023,21.00,20.30,21.20,19.50,2.02M,6.60%
06/18/2023,20.50,21.00,21.30,20.30,850.58K,-2.38%
06/19/2023,20.30,20.80,20.80,20.10,378.50K,-0.98%
06/20/2023,20.00,20.60,20.60,19.90,642.56K,-1.48%
06/21/2023,21.80,20.00,22.00,19.80,4.77M,9.00%
06/22/2023,21.70,21.90,23.70,21.20,5.73M,-0.46%
06/25/2023,23.30,21.70,23.50,21.70,1.37M,7.37%
06/26/2023,23.70,23.50,24.30,22.70,4.66M,1.72%
07/02/2023,24.30,23.90,25.00,22.60,4.39M,2.53%
07/03/2023,23.90,24.40,25.40,23.50,2.62M,-1.65%
07/04/2023,23.50,24.00,24.30,23.10,924.67K,-1.67%
07/05/2023,24.60,24.00,25.40,23.90,6.34M,4.68%
07/06/2023,24.70,24.60,27.00,24.00,6.50M,0.41%
07/09/2023,24.10,24.70,25.00,23.90,937.18K,-2.43%
07/10/2023,23.90,24.50,24.50,23.60,1.34M,-0.83%
07/11/2023,23.00,23.60,24.00,22.40,1.76M,-3.77%
07/12/2023,22.70,23.00,23.70,22.60,902.43K,-1.30%
07/13/2023,23.90,22.70,24.40,22.70,943.55K,5.29%
07/16/2023,24.10,24.40,24.80,24.00,1.05M,0.84%
07/17/2023,24.00,24.50,24.50,23.80,824.64K,-0.41%
07/18/2023,25.60,24.10,25.90,24.10,4.18M,6.67%
07/19/2023,26.80,25.80,27.20,25.80,3.11M,4.69%
07/20/2023,26.60,26.60,27.80,25.50,8.37M,-0.75%
07/23/2023,25.60,26.20,26.40,24.20,3.12M,-3.76%
07/24/2023,25.20,25.70,25.80,24.70,1.71M,-1.56%
07/25/2023,24.60,25.50,25.80,24.50,764.51K,-2.38%
07/26/2023,24.40,24.80,25.30,24.20,970.23K,-0.81%
07/27/2023,24.40,24.70,24.90,23.90,800.85K,0.00%
07/30/2023,23.60,24.50,24.60,23.20,993.35K,-3.28%
07/31/2023,23.00,23.60,24.00,22.80,986.91K,-2.54%
08/01/2023,23.40,23.70,23.70,23.00,535.23K,1.74%
08/02/2023,23.50,23.80,23.80,23.10,620.28K,0.43%
08/03/2023,24.00,23.70,24.20,23.50,868.77K,2.13%
08/06/2023,24.10,24.40,24.50,23.90,518.00K,0.42%
08/07/2023,23.50,24.00,24.00,23.40,459.23K,-2.49%
08/08/2023,23.60,23.50,24.20,23.50,291.56K,0.43%
08/09/2023,23.10,23.90,23.90,23.10,327.30K,-2.12%
08/10/2023,22.80,22.90,23.30,22.70,223.16K,-1.30%
08/13/2023,23.30,22.90,23.90,22.90,361.95K,2.19%
08/14/2023,23.60,23.90,23.90,22.90,1.09M,1.29%
08/16/2023,24.10,24.00,24.40,23.50,1.45M,2.12%
08/17/2023,25.70,24.50,25.90,24.40,3.42M,6.64%
08/20/2023,25.00,25.80,26.70,24.50,4.22M,-2.72%
08/21/2023,26.10,25.30,26.30,24.50,1.95M,4.40%
08/22/2023,25.80,26.10,26.20,25.40,2.58M,-1.15%
08/23/2023,24.50,25.80,25.90,24.40,2.07M,-5.04%
08/24/2023,24.80,24.70,25.50,24.60,2.13M,1.22%
08/27/2023,25.20,25.40,25.50,24.90,1.35M,1.61%
08/28/2023,25.80,25.50,25.90,25.10,2.81M,2.38%
08/29/2023,25.70,26.20,26.20,25.30,2.53M,-0.39%
08/30/2023,25.80,25.70,25.90,25.50,955.33K,0.39%
08/31/2023,25.40,25.60,26.10,25.10,1.41M,-1.55%
09/03/2023,27.60,25.50,27.90,25.50,7.21M,8.66%
09/04/2023,26.50,27.60,27.60,26.20,3.41M,-3.99%
09/05/2023,25.80,26.20,26.40,25.60,3.21M,-2.64%
09/07/2023,26.40,25.80,26.70,25.70,2.91M,2.33%
09/10/2023,25.70,26.50,26.80,25.50,1.84M,-2.65%
09/11/2023,25.90,25.70,26.30,25.70,2.26M,0.78%
09/12/2023,26.50,26.00,26.70,25.80,1.47M,2.32%
09/13/2023,26.10,26.80,26.80,26.00,1.47M,-1.51%
09/14/2023,25.80,26.30,26.30,25.70,912.10K,-1.15%
09/17/2023,25.80,26.00,26.40,25.50,1.02M,0.00%
09/18/2023,24.20,25.70,25.70,24.10,1.07M,-6.20%
09/19/2023,23.10,25.50,25.50,23.00,1.45M,-4.55%
09/20/2023,23.90,23.30,24.30,23.30,547.14K,3.46%
